external_gene_name,log2FoldChange,padj,baseMean
BPI,5.967065325,2.37E-05,116.4414863
PPIAP35,5.177915297,2.49E-05,24.43790744
SOX8,3.730801983,2.60E-05,936.3940011
TTC13,1.779357348,2.61E-05,1232.620783
SMIM31,-5.153914874,2.61E-05,93.03165358
TRIM8,-2.574174411,2.61E-05,15043.44706
ACOT4,-3.136692757,2.62E-05,105.5451088
,2.583360693,2.63E-05,206.7246969
CHRM3-AS2,4.335111596,2.64E-05,168.8939498
THTPA,-2.38186049,2.64E-05,328.6955109
,5.165961948,2.69E-05,13.93522639
ATG9B,2.333862698,2.75E-05,1248.436224
,1.837090642,2.81E-05,95.07944368
NA,-2.730876188,2.85E-05,44.81578239
GK6P,2.462464337,2.88E-05,61.6858173
,7.210358572,3.03E-05,19.75510765
NCAPGP1,3.927940866,3.04E-05,108.1300609
,3.921069502,3.09E-05,29.4789248
HMSD,5.014550335,3.09E-05,35.38751362
,2.619948416,3.10E-05,150.8599967
ANKRD36C,2.323594235,3.12E-05,10295.27367
LINC02367,2.753677947,3.24E-05,169.3758748
,-5.971026956,3.43E-05,13.20115645
ELF5,6.6113546,3.43E-05,6493.862637
LINC02552,4.089317603,3.45E-05,15.37086757
PLAG1,4.490913988,3.60E-05,440.6942919
SH3GLB2,-2.173726554,3.60E-05,27105.85165
KRT16,5.20881859,3.63E-05,4197.95275
NKAIN1,-4.864648934,3.65E-05,1199.937256
CRACDL,-2.859520171,3.68E-05,2259.787423
ANKRD36,2.357827333,3.68E-05,8559.369544
RPS6P8,7.893436198,3.68E-05,47.31817172
GAMTP2,-6.112478778,3.68E-05,6.381313723
,2.201257447,3.68E-05,167.1805233
FASN,-2.9705596,3.68E-05,114551.3196
F2RL2,-3.568084436,3.70E-05,1050.83264
CPLX1,-3.688135728,3.73E-05,3590.112374
CLCN7-AS1,-1.812230918,3.82E-05,297.6548756
SLCO5A1-AS1,5.488795329,4.07E-05,17.20452138
,5.295535062,4.11E-05,160.1852814
RAB3B,-4.368605431,4.14E-05,1238.538408
SYT2,3.183819377,4.22E-05,416.5885692
LINC01117,-4.282462393,4.35E-05,231.8519203
MROH3P,5.874627878,4.38E-05,28.67618934
NCCRP1,5.685623529,4.38E-05,1524.976456
H2BP2,5.389287379,4.44E-05,37.63000647
PYY,-3.761966678,4.44E-05,77.36503321
,2.092530457,4.44E-05,42.28911212
SAMD15,-2.295661743,4.60E-05,321.3399075
,3.690783779,4.76E-05,28.80900429
NA,-6.451686572,4.76E-05,8.090285528
ADAMTSL5,-3.199897509,4.76E-05,854.2441953
RPL21P46,5.031382843,4.79E-05,32.18310129
P2RX5,4.773491685,4.82E-05,216.9670417
IGF2BP2-AS1,5.403461004,4.96E-05,29.19495754
VSTM5,4.687317519,5.04E-05,223.4279677
,7.848564989,5.07E-05,20.55314065
DLX1,-6.690421224,5.07E-05,1019.14417
,2.621595433,5.09E-05,29.41115369
,4.678774447,5.12E-05,48.82821311
SLC45A1,-2.844238289,5.14E-05,304.0568327
NA,5.604212691,5.17E-05,130.8057058
,-2.72232921,5.32E-05,36.41454529
MYO3B-AS1,5.155841771,5.32E-05,28.14052549
