"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100867",603.874266112992,8.41416854752874,1.0542890287763,7.9808935859789,1.45277675429841e-15,3.20074203937562e-13
"ENSG00000226965",36.5429731807483,8.39942619745496,2.14549135832991,3.91491961263047,9.04343331797586e-05,0.00148689511338192
"ENSG00000235436",193.076335043542,8.35386159095763,1.58183045659227,5.28113588668303,1.28385421952863e-07,5.875451477912e-06
"ENSG00000196071",34.8433000095507,8.33071375383256,2.14576646727237,3.88239534958448,0.000103432534176233,0.00165846052733639
"ENSG00000224559",378.079222523896,8.32329440677884,1.20801119709346,6.89008051150942,5.57608203223188e-12,6.80465651352512e-10
"ENSG00000251073",183.303214309156,8.27868738656786,1.58190821445483,5.23335507769704,1.66460527746299e-07,7.35874690933992e-06
"ENSG00000185933",732.787938943825,8.27786237594789,0.96841232143864,8.54786973760369,1.25381108808875e-17,3.75765339260363e-15
"ENSG00000081051",33.1436268383531,8.25856428952998,2.14606975163732,3.84822733894329,0.000118975619572101,0.0018537183784936
"ENSG00000238117",33.1436268383531,8.25856428952998,2.14606975163732,3.84822733894329,0.000118975619572101,0.0018537183784936
"ENSG00000100095",32.7187085455537,8.23994869424451,2.14615048895166,3.83940862332981,0.000123331019610934,0.00190555308124415
"ENSG00000124935",1763.77046136526,8.22295220500684,0.790514008497249,10.4020322430952,2.42700946423878e-25,2.30052276169554e-22
"ENSG00000171201",32.2937902527543,8.22108975093395,2.14623334777396,3.83047340097513,0.000127896958998706,0.00195754868637937
"ENSG00000268555",32.2937902527543,8.22108975093395,2.14623334777396,3.83047340097513,0.000127896958998706,0.00195754868637937
"ENSG00000115648",28903.563310643,8.21303935207705,0.654918612454763,12.5405496131694,4.4787845372916e-36,1.3039341353962e-32
"ENSG00000075891",31.8688719599549,8.20198101301336,2.14631841283688,3.82141855745088,0.000132686233835183,0.00201688377424378
"ENSG00000166960",31.8688719599549,8.20198101301336,2.14631841283688,3.82141855745088,0.000132686233835183,0.00201688377424378
"ENSG00000140557",343.235922514345,8.18334928774536,1.20811017803435,6.77367796127673,1.25548970980602e-11,1.42145847449954e-09
"ENSG00000250535",171.405502110773,8.18154646848976,1.58201487305903,5.17159895764422,2.32099301520374e-07,9.79310085990574e-06
"ENSG00000261257",31.0190353743561,8.16298705482624,2.14649552379402,3.8029369101119,0.000142990780089071,0.00214744333295889
"ENSG00000279249",30.5941170815567,8.14308758585078,2.14658776329651,3.79350321709906,0.000148536705680332,0.00221603498785676
"ENSG00000287360",29.7442804959579,8.10244578193472,2.14678013579081,3.77423176544813,0.000160501496211034,0.00236168970543882
"ENSG00000233760",29.7442804959579,8.10244578193472,2.14678013579081,3.77423176544813,0.000160501496211034,0.00236168970543882
"ENSG00000188488",1120.80371231472,8.08290511434164,0.84522314368741,9.56304281858489,1.14344413865504e-21,5.82570495593009e-19
"ENSG00000286403",29.3193622031585,8.08168731395543,2.1468804972056,3.76438619870768,0.000166958681095916,0.00243647292616843
"ENSG00000263677",28.8944439103591,8.06062579192781,2.14698380552616,3.75439524563735,0.000173760494386191,0.00251949626136135
"ENSG00000115593",467.900412417184,8.04489272202781,1.05449228874117,7.6291622119225,2.36284178437233e-14,4.33815622924468e-12
"ENSG00000241128",28.4695256175597,8.03925223598617,2.14709019248155,3.74425455630004,0.0001809301472931,0.00259301402022484
"ENSG00000279903",28.4695256175597,8.03925223598617,2.14709019248155,3.74425455630004,0.0001809301472931,0.00259301402022484
"ENSG00000197308",460.676801439594,8.0223605334907,1.05450645424013,7.60769220637111,2.79033377083296e-14,5.05472062957247e-12
"ENSG00000260265",28.0446073247603,8.01755726112822,2.14719979777078,3.73395958282598,0.000188492755832105,0.00268084450487063
"ENSG00000289418",28.0446073247603,8.01755726112822,2.14719979777078,3.73395958282598,0.000188492755832105,0.00268084450487063
